admin2Pcode,District,admin1Name_en,AREA_SQKM,T_TL,M_TL,F_TL,Inernet_Total_15 year+,Inernet_Male_15 year+,Inernet_Female_15 year+,Mobile Phone_Total_15 year+,Mobile Phone_Male_15 year+,Mobile Phone_Female_15 year+,4G Avg. UE throughput DL (MB),Literacy Rate_7year+_Overall,Literacy Rate_7year+_Male,Literacy Rate_7year+_Female,Employment_Rate,Employment_Rate_Male,Employment_Rate_Female,Have financial account_Overall,Have financial account_Male,Have financial account_Female,Mobile Bank Account_Overall,Mobile Bank Account_Male,Mobile Bank Account_Female,National Grid_%,No Electricity Connection_%,Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Percentage of population in bottom 40% (%),Num_op_x_towers,Cell_tower_density,Tea_State_Count,mean_distance,min_distance,max_distance,median_distance,25_perc_distance,75_perc_distance,std_dev_distance,mean_num_tower_500m,mean_num_tower_1000m,mean_num_tower_2000m,mean_num_tower_5000m,mean_num_tower_10000m
BD6058,Maulvibazar,Sylhet,2678.8099118085,2217984,1064390,1153594,36.4,45.69,28.28,62.52,78.69,48.39,10.033666666666667,75.85,77.68,74.19,31.96,53.71,12.05,23.07,27.73,19.0,30.91,43.03,20.31,96.37,2.05,25.700000762939453,21.100000381469727,32.19083786010742,207,0.07727312008497518,90,1668.0,15.0,11400.0,1355.0,829.0,2090.0,1295.0,0.14740122414744578,0.5312287797585036,1.7513414924600468,8.07915929330715,26.91900350115907
BD4057,Meherpur,Khulna,722.5246760251159,696968,334277,362691,35.38,44.91,26.84,63.76,81.93,47.48,15.333953488372094,68.14,68.92,67.43,34.27,63.57,7.22,23.35,29.52,17.83,37.47,49.23,26.94,99.38,0.5,15.199999809265137,5.099999904632568,14.278120994567871,64,0.08857828960539926,0,1511.0,37.0,4598.0,1401.0,855.0,2060.0,870.0,0.12755802352575998,0.4540069471904402,1.5035512138158766,7.085123941015673,22.985120169724233
BD3059,Munshiganj,Dhaka,932.6788170158779,1560983,760304,800679,48.72,54.39,43.65,74.9,84.28,66.48,12.29611111111111,77.9,79.08,76.8,32.12,56.32,9.53,28.87,31.03,26.93,32.62,40.58,25.48,99.39,0.19,28.700000762939453,15.600000381469727,32.13901901245117,211,0.22623007636765907,0,768.0,15.0,3924.0,703.0,409.0,1035.0,467.0,0.36022948940407423,1.3232074781894285,4.48356475436733,24.602609527440087,117.40343235764728
BD4561,Mymensingh,Mymensingh,4348.48009256211,5628978,2715383,2913595,28.03,38.7,18.12,65.15,81.71,49.77,11.340813953488375,70.89,72.31,69.54,31.5,54.62,9.33,17.4,22.52,12.64,34.9,47.97,22.76,98.9,0.66,50.5,32.30000305175781,66.11100006103516,494,0.11360291170355498,0,1219.0,39.0,4733.0,1147.0,696.0,1650.0,682.0,0.21961838398701553,0.7917980589027733,2.6715026935860022,11.96514963184839,40.018000842300566
BD5064,Naogaon,Rajshahi,3443.9030777318,2711029,1314640,1396389,23.01,32.92,13.65,65.06,85.33,45.89,14.220232558139537,72.24,74.78,69.78,33.01,58.53,8.28,24.93,31.45,18.77,40.81,58.17,24.39,99.08,0.73,16.899999618530273,7.0,16.890701293945312,118,0.0342634497361396,0,2352.0,9.0,8983.0,2163.0,1276.0,3216.0,1388.0,0.09885191748751058,0.32139354540195575,1.0112364511005634,4.2942850118435825,13.45690206800633
BD4065,Narail,Khulna,995.743563499891,710145,335747,374398,32.39,41.91,23.82,67.69,81.4,55.35,12.784534883720928,74.66,76.19,73.22,31.0,56.73,6.88,25.3,29.91,21.15,40.06,51.16,30.08,99.03,0.7,20.0,7.699999809265137,20.8676815032959,74,0.07431632270853046,0,1679.0,56.0,5040.0,1585.0,1002.0,2241.0,890.0,0.0676863131135188,0.30700950533434745,1.1120508778810618,6.124835148737261,24.89270906243741
BD3067,Narayanganj,Dhaka,703.5466905551899,3968554,2029697,1938857,46.46,56.25,36.09,75.94,86.6,64.62,11.176395348837211,79.24,80.97,77.38,43.43,66.01,19.3,23.44,28.61,17.96,36.92,48.67,24.46,99.62,0.09,26.100000381469727,10.40000057220459,35.67218780517578,530,0.7533259798035025,0,418.0,17.0,2419.0,334.0,189.0,575.0,307.0,1.7377288493960368,6.4029010703871805,23.98323981458107,118.4015979814865,434.16982646659835
BD3068,Narsingdi,Dhaka,1167.78917788171,2525087,1220097,1304990,43.31,52.93,34.5,67.92,81.23,55.72,12.190697674418606,74.81,76.11,73.59,32.57,56.43,9.85,23.65,28.67,19.05,31.4,41.6,22.06,99.6,0.21,23.700000762939453,12.100000381469727,23.20562744140625,219,0.18753384955771818,0,907.0,18.0,3355.0,825.0,494.0,1215.0,540.0,0.32323378803336683,1.1226603311318581,3.9427641954587305,18.96240296552476,68.95373359260097
BD5069,Natore,Rajshahi,1904.36496546015,1840322,894165,946157,25.05,35.39,15.24,65.22,85.4,46.07,14.23104651162791,71.51,73.45,69.62,33.57,59.85,7.99,25.69,32.36,19.36,39.45,56.59,23.18,99.06,0.75,35.10000228881836,21.299999237060547,39.24735641479492,112,0.05881225607032607,0,1811.0,18.0,7357.0,1581.0,942.0,2448.0,1175.0,0.11358183339501927,0.394916375671502,1.3058940174321676,6.296838759484641,21.50314343214877
BD5070,Nawabganj,Rajshahi,1685.47387945634,1836973,880519,956454,24.36,34.03,15.71,66.05,83.79,50.19,15.062325581395342,72.0,70.85,73.05,32.38,58.02,8.68,22.76,28.42,17.71,35.13,49.26,22.49,97.08,1.96,25.299999237060547,12.100000381469727,30.124691009521484,76,0.04509117639041328,0,2173.0,8.0,10413.0,1746.0,879.0,3011.0,1680.0,0.12949862554232677,0.4517049616965656,1.4375754695447172,6.1570906585783485,17.804949388209906
BD4572,Netrakona,Mymensingh,2804.36510087641,2405452,1162804,1242648,20.74,30.4,11.91,63.52,80.92,47.62,10.956511627906977,66.25,67.41,65.15,29.65,52.81,7.58,16.76,21.3,12.62,34.61,47.73,22.63,98.63,0.78,35.29999923706055,19.5,49.28147888183594,190,0.06775152063496365,0,1649.0,41.0,6501.0,1513.0,962.0,2177.0,944.0,0.11011515239538833,0.38895754068166133,1.3086589371291193,6.359254581249815,22.950140951745407
BD5573,Nilphamari,Rangpur,1587.90039930656,2076058,1018823,1057235,21.44,31.58,11.73,63.45,82.21,45.49,11.65511627906977,69.23,72.2,66.32,32.67,56.05,9.65,25.96,31.12,21.02,43.37,60.4,27.07,98.6,1.04,34.79999923706055,18.799999237060547,47.50909423828125,128,0.08060958990620438,0,1616.0,56.0,7254.0,1378.0,816.0,2095.0,1129.0,0.15810487948892954,0.5157025666450893,1.6908413805735107,7.782216170287544,25.768723775122336
BD2075,Noakhali,Chittagong,2678.48487027874,3665008,1702993,1962015,43.01,50.52,36.63,70.7,81.61,61.43,12.910777777777783,75.52,75.64,75.41,26.87,49.15,6.85,23.47,27.62,19.95,34.44,44.44,25.96,86.26,1.48,9.600000381469727,3.4000000953674316,7.979046821594238,644,0.2404344363285432,0,933.0,40.0,13954.0,709.0,456.0,1033.0,1074.0,0.3436933876533263,1.339280030624115,4.870663573598669,27.26282811933909,101.46153629384217
BD5076,Pabna,Rajshahi,2389.393133051,2832687,1380142,1452545,30.22,41.23,19.6,66.41,84.99,48.48,13.208372093023252,70.49,71.26,69.73,33.43,59.1,8.04,28.04,34.73,21.59,40.04,56.02,24.62,99.31,0.41,31.5,16.69999885559082,38.977081298828125,189,0.07909958281275681,0,1459.0,17.0,5869.0,1325.0,735.0,1971.0,911.0,0.16086374489539773,0.5966251757596649,1.9256131324170391,8.370612952954259,26.896955856262345
BD5577,Panchagarh,Rangpur,1363.12054817192,1127967,553161,574806,18.45,28.06,9.16,61.55,84.41,39.44,12.026860465116279,73.66,76.66,70.69,34.34,58.13,10.75,27.5,33.98,21.23,37.87,56.73,19.63,98.65,1.03,26.69999885559082,12.300000190734863,36.14124298095703,44,0.03227887662540805,11,2654.0,65.0,7981.0,2484.0,1393.0,3694.0,1585.0,0.07828667438558831,0.2769041977145755,0.819717196678076,3.2353294396914194,10.180286522089585
BD1078,Patuakhali,Barisal,2617.4078170285,1548309,736425,811884,25.68,35.27,16.91,70.93,83.96,59.03,12.40023255813953,76.7,78.64,74.87,30.41,54.05,8.06,24.8,31.95,18.27,40.09,53.56,27.78,96.61,0.65,25.799999237060547,14.699999809265137,31.121524810791016,130,0.049667460742738534,0,2221.0,56.0,22927.0,1757.0,1044.0,2652.0,2073.0,0.10689813847564615,0.35507919197017274,1.1629476173035287,5.4331927674500475,18.124774723307553
